"id do Tweet","link permanente do Tweet","texto do Tweet","horário","impressões","engajamentos","taxa de engajamento","retweets","respostas","favoritos","cliques no perfil do usuário:","cliques no URL","cliques em hashtags:","expansões de detalhes:","cliques no link permanente","aberturas de aplicativos","instalações de aplicativo:","seguiram","Tweet enviado por e-mail","número de telefone discado","visualizações da mídia","engajamentos com mídia","impressões promovido(a)(s)","engajamentos promovido(a)(s)","taxa de engajamento promovido(a)(s)","retweets promovido(a)(s)","respostas promovido(a)(s)","favoritos promovido(a)(s)","cliques no perfil do usuário: promovido(a)(s)","cliques no URL promovido(a)(s)","cliques em hashtags: promovido(a)(s)","expansões de detalhes: promovido(a)(s)","cliques no link permanente promovido(a)(s)","aberturas de aplicativos promovido(a)(s)","instalações de aplicativo: promovido(a)(s)","seguiram promovido(a)(s)","Tweet enviado por e-mail promovido(a)(s)","número de telefone discado promovido(a)(s)","visualizações da mídia promovido(a)(s)","engajamentos com mídia promovido(a)(s)"
"1509523478071939075","https://twitter.com/vayno/status/1509523478071939075","Olá, Miguelito

Te amo, Miguelito https://t.co/yDJpuaMs81","2022-03-31 13:30 +0000","64.0","1.0","0.015625","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509520065322012672","https://twitter.com/vayno/status/1509520065322012672","hey! hi! hello!","2022-03-31 13:16 +0000","96.0","4.0","0.041666666666666664","0.0","0.0","1.0","3.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509513568441573387","https://twitter.com/vayno/status/1509513568441573387","@Redd99_ viramos best, fonte: confia","2022-03-31 12:50 +0000","18.0","2.0","0.1111111111111111","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509362206923702276","https://twitter.com/vayno/status/1509362206923702276","Depois de ver as duas temporadas antigas de Baki, fico feliz em pegar todas as referências e conhecer o backstory dos personagens(que eu vi no antigo)que aparecem no da Netflix

E pqp eh bom/nostálgico ver o original, mas como eh bom uma animação recente deuzulivre","2022-03-31 02:49 +0000","57.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509360946287988737","https://twitter.com/vayno/status/1509360946287988737","Sou bom de cama, deito e durmo https://t.co/bpZcfvVOaZ","2022-03-31 02:44 +0000","135.0","4.0","0.02962962962962963","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509339888570753027","https://twitter.com/vayno/status/1509339888570753027","mais que amigos, friends https://t.co/4o1df0nNly","2022-03-31 01:20 +0000","41.0","1.0","0.024390243902439025","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509339276839899141","https://twitter.com/vayno/status/1509339276839899141","casada? https://t.co/R3KAdQaBUa","2022-03-31 01:18 +0000","86.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509322169326710789","https://twitter.com/vayno/status/1509322169326710789","@giu_ventimiglia ih que papinho, mó carinha de maluca 🤪 shauhuaehua","2022-03-31 00:10 +0000","12.0","1.0","0.08333333333333333","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509205453070389251","https://twitter.com/vayno/status/1509205453070389251","@demonallchan meu casinha","2022-03-30 16:26 +0000","28.0","1.0","0.03571428571428571","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509205126053044227","https://twitter.com/vayno/status/1509205126053044227","howl de cabelo preto &gt; howl maluco esquizofrenico, cuzao, mimado, irresponsável, de cabelo loiro https://t.co/VMcNMhqHf1","2022-03-30 16:25 +0000","104.0","2.0","0.019230769230769232","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
